day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,mid_price_change,bid_liquidity,ask_liquidity,total_liquidity,ob_skew,bid_price_spacing,ask_price_spacing,price_spacing_ratio,bid_top_concentration,ask_top_concentration,bid_decay,ask_decay,book_pressure,spread,spread_pct,bid_shape,ask_shape,liquidity_change_5,spread_vol_5,ob_skew_ma_5,liquidity_change_10,spread_vol_10,ob_skew_ma_10,liquidity_change_20,spread_vol_20,ob_skew_ma_20
-1,0,RAINFOREST_RESIN,10002.0,1.0,9996.0,2.0,9995.0,29.0,10004.0,2.0,10005.0,29.0,,,10003.0,0.0,,319849.0,,,0.0,6.0,1.0,0.16666666666666666,0.031249902344055173,,0.49997500124993743,0.06896527943007093,,2.0,0.019994001799460162,5.9994000599940005,,,,,,,,,,
-1,100,RAINFOREST_RESIN,9996.0,2.0,9995.0,22.0,,,10004.0,2.0,10005.0,22.0,,,10000.0,3.0,7973.5,,,,0.0,1.0,1.0,1.0,,,0.09090867768782869,0.09090867768782869,,8.0,0.08,,,,,,,,,,,
-1,200,RAINFOREST_RESIN,9995.0,20.0,,,,,10005.0,20.0,,,,,10000.0,3.0,0.0,,,,0.0,,,,,,,,,10.0,0.1,,,,,,,,,,,
-1,300,RAINFOREST_RESIN,9996.0,2.0,9995.0,29.0,,,10004.0,2.0,10005.0,29.0,,,10000.0,3.0,7973.5,,,,0.0,1.0,1.0,1.0,,,0.06896527943007093,0.06896527943007093,,8.0,0.08,,,,,,,,,,,
-1,400,RAINFOREST_RESIN,9996.0,2.0,9995.0,25.0,,,10004.0,2.0,10005.0,25.0,,,10000.0,3.0,0.0,,,,0.0,1.0,1.0,1.0,,,0.07999968000128,0.07999968000128,,8.0,0.08,,,,3.03315017762062,0.0,,,,,,
-1,500,RAINFOREST_RESIN,9995.0,30.0,,,,,10002.0,4.0,10005.0,30.0,,,9998.5,3.0,7972.0,,,,0.0,,3.0,,,,,0.13333288889037037,,7.0,0.07001050157523629,,,,1.0954451150103317,0.0,,,,,,
-1,600,RAINFOREST_RESIN,10000.0,5.0,9995.0,25.0,,,10005.0,25.0,,,,,10002.5,3.0,4.0,,,,0.0,5.0,,,,,0.19999920000319998,,,5.0,0.04998750312421895,,,,1.8165902124584945,0.0,,,,,,
-1,700,RAINFOREST_RESIN,9995.0,23.0,,,,,10005.0,23.0,,,,,10000.0,3.0,7973.5,,,,0.0,,,,,,,,,10.0,0.1,,,,1.8165902124584945,0.0,,,,,,
-1,800,RAINFOREST_RESIN,9996.0,1.0,9995.0,29.0,,,10004.0,1.0,10005.0,29.0,,,10000.0,3.0,0.0,,,,0.0,1.0,1.0,1.0,,,0.034482639715035464,0.034482639715035464,,8.0,0.08,,,,1.8165902124584945,0.0,,,,,,
-1,900,RAINFOREST_RESIN,9996.0,1.0,9995.0,22.0,,,10004.0,1.0,10005.0,22.0,,,10000.0,3.0,7974.5,,,,0.0,1.0,1.0,1.0,,,0.045454338843914345,0.045454338843914345,,8.0,0.08,,,,1.8165902124584945,0.0,,2.3664319132398464,0.0,,,
-1,1000,RAINFOREST_RESIN,9995.0,26.0,,,,,10005.0,26.0,,,,,10000.0,3.0,0.0,,,,0.0,,,,,,,,,10.0,0.1,,,,2.0493901531919194,0.0,,1.5491933384829668,0.0,,,
