day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,mid_price_change,returns,log_returns,sma_5,ema_5,volatility_5,rolling_return_5,price_zscore_5,sma_10,ema_10,volatility_10,rolling_return_10,price_zscore_10,sma_20,ema_20,macd,macd_signal,macd_hist,volatility_20,rolling_return_20,price_zscore_20,sma_50,ema_50,volatility_50,rolling_return_50,price_zscore_50,rsi,bb_middle,bb_std,bb_upper,bb_lower,bb_width,bb_pct,atr,atr_pct,bid_ask_imbalance,bid_ask_imbalance_sma,ob_pressure,momentum_5,volume_momentum_5,momentum_10,volume_momentum_10,momentum_20,volume_momentum_20,mean_rev_signal,trend_signal,high_20,low_20,breakout_signal,rolling_sharpe,downside_volatility_20,rolling_sortino,max_drawdown_50,alpha_signal,alpha_signal_norm
-1,0,RAINFOREST_RESIN,10002.0,1.0,9996.0,2.0,9995.0,29.0,10004.0,2.0,10005.0,29.0,,,10003.0,0.0,,,,,10003.0,,,,,10003.0,,,,,10003.0,0.0,0.0,0.0,,,,,10003.0,,,,,,,,,,,,,-0.3333222225925802,,,,,,,,,,0,,,0,,,,,-0.06666444451851604,0.0
-1,100,RAINFOREST_RESIN,9996.0,2.0,9995.0,22.0,,,10004.0,2.0,10005.0,22.0,,,10000.0,3.0,7973.5,-0.00029991002699192304,-0.0002999550089979961,,10002.0,,,,,10002.454545454544,,,,,10002.714285714286,-0.23931623931639479,-0.04786324786327896,-0.19145299145311584,,,,,10002.882352941177,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0,,,0,,,,,-0.1,0.0
-1,200,RAINFOREST_RESIN,9995.0,20.0,,,,,10005.0,20.0,,,,,10000.0,3.0,0.0,0.0,0.0,,10001.333333333334,,,,,10002.00826446281,,,,,10002.455782312925,-0.424087466823039,-0.12310809165523098,-0.30097937516780804,,,,,10002.769319492503,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0,,,0,,,,,-0.1,0.0
-1,300,RAINFOREST_RESIN,9996.0,2.0,9995.0,29.0,,,10004.0,2.0,10005.0,29.0,,,10000.0,3.0,7973.5,0.0,0.0,,10000.88888888889,,,,,10001.64312546957,,,,,10002.221898283124,-0.5640183434516075,-0.2112901420145063,-0.3527282014371012,,,,,10002.660718728092,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0,,,0,,,,,-0.1,0.0
-1,400,RAINFOREST_RESIN,9996.0,2.0,9995.0,25.0,,,10004.0,2.0,10005.0,25.0,,,10000.0,3.0,0.0,0.0,0.0,10000.6,10000.592592592595,,,-0.44721359550022066,,10001.344375384193,,,,,10002.010288922826,-0.6672232371820428,-0.30247676104801363,-0.36474647613402916,,,,,10002.556376817187,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0,,,0,,,,,-0.1,0.0
-1,500,RAINFOREST_RESIN,9995.0,30.0,,,,,10002.0,4.0,10005.0,30.0,,,9998.5,3.0,7972.0,-0.00014999999999998348,-0.00015001125112511004,9999.7,9999.895061728397,0.00013412887255613484,-0.0004499100269919065,-1.7888543819996963,,10000.82721622343,,,,,10001.67597569208,-0.8601362081990374,-0.4140086504782184,-0.44612755772081897,,,,,10002.397303216514,,,,,,,,,,,,,0.7647036332246081,,6096.217364066576,-0.00044986504048782905,0.5636363636363637,,,,,,0,,,0,,,,,0.05294072664492164,0.0
-1,600,RAINFOREST_RESIN,10000.0,5.0,9995.0,25.0,,,10005.0,25.0,,,,,10002.5,3.0,4.0,0.0004000600090012796,0.000399980006332413,10000.2,10000.7633744856,0.00020618075151535928,0.0002500600090012961,1.5966833093508672,,10001.13135872826,,,,,10001.754454197597,-0.6823884081895812,-0.467684602020491,-0.21470380616909024,,,,,10002.401330541357,,,,,,,,,,,,,-0.6666644444518518,,-2.666657777807407,0.0002500000000000835,0.30232558139534893,,,,,,0,,,0,,,,,-0.23333288889037038,0.0
-1,700,RAINFOREST_RESIN,9995.0,23.0,,,,,10005.0,23.0,,,,,10000.0,3.0,7973.5,-0.00024993751562107924,-0.0002499687552073415,10000.2,10000.508916323734,0.00024749584315499653,1.224933802168593e-07,-0.13884202690062444,,10000.925657141303,,,,,10001.587363321634,-0.7347810046703671,-0.5211038825504662,-0.21367712211990086,,,,,10002.307160716206,,,,,,,,,,,,,0.0,,0.0,0.0,0.0535714285714286,,,,,,0,,,0,,,,,-0.1,0.0
-1,800,RAINFOREST_RESIN,9996.0,1.0,9995.0,29.0,,,10004.0,1.0,10005.0,29.0,,,10000.0,3.0,0.0,0.0,0.0,10000.2,10000.339277549156,0.00024749584315499653,1.224933802168593e-07,-0.13884202690062444,,10000.757355842883,,,,,10001.43618586243,-0.7674557625432499,-0.570374258549023,-0.19708150399422686,,,,,10002.216683825374,,,,,,,,,,,,,0.0,,0.0,0.0,-0.016949152542372836,,,,,,0,,,0,,,,,-0.1,0.0
-1,900,RAINFOREST_RESIN,9996.0,1.0,9995.0,22.0,,,10004.0,1.0,10005.0,22.0,,,10000.0,3.0,7974.5,0.0,0.0,10000.2,10000.22618503277,0.00024749584315499653,1.224933802168593e-07,-0.13884202690062444,10000.4,10000.61965478054,,,-0.3009419175450291,,10001.299406256485,-0.784309709451918,-0.613161348729602,-0.17114836072231598,,,,,10002.129755047908,,,,,,,,,,,,,0.0,-0.02352830338198239,0.0,0.0,-0.017241379310344862,,,,,,0,,,0,,,,,-0.1,0.0
-1,1000,RAINFOREST_RESIN,9995.0,26.0,,,,,10005.0,26.0,,,,,10000.0,3.0,0.0,0.0,0.0,10000.5,10000.150790021848,0.00023345739435344702,0.00015012249338020034,-0.4472135954999986,10000.1,10000.506990274986,0.0001903142256247497,-0.0002997875336117062,-0.10350983390166303,,10001.175653279677,-0.7885763663234684,-0.6482443522483754,-0.140332014075093,,,,,10002.04623524211,,,,,,,,,,,,,0.0,0.00980391887727563,0.0,0.00015002250337547984,0.1578947368421053,-0.00029991002699192304,0.2899408284023668,,,,0,,,0,,,,,-0.1,0.0
-1,1100,RAINFOREST_RESIN,9996.0,2.0,9995.0,24.0,,,10004.0,2.0,10005.0,24.0,,,10000.0,3.0,7974.0,0.0,0.0,10000.0,10000.100526681232,0.00011177545501122976,-0.00024993751562107924,,10000.1,10000.414810224987,0.0001649972292752125,1.224933802168593e-07,-0.10350983390166303,,10001.06368630066,-0.7829325634011184,-0.675181994478924,-0.10775056892219437,,,,,10001.96599072281,,,,,,,,,,,,,0.0,0.00980391887727563,0.0,-0.00024993751562107924,-0.19696969696969702,0.0,0.0,,,,0,,,0,,,,,-0.1,0.0
-1,1200,RAINFOREST_RESIN,9995.0,21.0,,,,,9998.0,1.0,10005.0,21.0,,,9996.5,8.0,-3.5,-0.00034999999999996145,-0.0003500612642953807,9999.3,9998.900351120821,0.00015652475842496807,-0.00034999999999996145,-1.7888543819996823,9999.75,9999.703026547717,0.00019868326148617783,-0.0003498775066197446,-2.173385029042606,,10000.629049510122,-1.0487907512724632,-0.7499037458376319,-0.2988870054348314,,,,,10001.751638145446,,,,,,,,,,,,,0.9090867768782869,0.10071259656510431,3.1818037190740043,-0.00034999999999996145,-0.2264150943396226,-0.00034999999999996145,-0.08256880733944949,,,,0,,,0,,,,,0.08181735537565737,0.0
-1,1300,RAINFOREST_RESIN,10002.0,1.0,9996.0,1.0,9995.0,30.0,10004.0,1.0,10005.0,30.0,,,10003.0,10.0,7977.0,0.00065022757965294,0.0006500162732934562,9999.9,10000.266900747214,0.0003630663112381939,0.0003002275796529785,1.3465539525657584,10000.05,10000.302476266314,0.00029463568110486046,0.0003003500730331954,1.6232385160745266,,10000.854854318683,-0.7266136534381076,-0.7452457273577271,0.01863207391961952,,,,,10001.800593512291,,,,49.996666888874074,,,,,,,7.571428571428571,0.07569157824081346,0.0,0.10071259656510431,0.0,0.00029999999999996696,0.0,0.00029999999999996696,-0.010000000000000009,,,,0,,,0,,,,,0.1,0.0
-1,1400,RAINFOREST_RESIN,9996.0,1.0,9995.0,25.0,,,10004.0,1.0,10005.0,25.0,,,10000.0,12.0,-3.0,-0.00029991002699192304,-0.0002999550089979961,9999.9,10000.177933831477,0.00039851032278463347,3.1755266105548685e-07,0.04343722427646771,10000.05,10000.247480581529,0.00031274034007365597,4.4004604127234614e-07,-0.027512517221195,,10000.773439621666,-0.7052314411339466,-0.7372428701129711,0.032011428979024426,,,,,10001.729982002005,,,,43.74744806552951,,,,,,,8.0,0.08,0.0,0.10071259656510431,0.0,0.0,0.0,0.0,-0.010101010101010055,,,,0,,,0,,,,,0.1,0.0
-1,1500,RAINFOREST_RESIN,9995.0,27.0,,,,,10005.0,27.0,,,,,10000.0,12.0,7974.0,0.0,0.0,9999.9,10000.118622554319,0.00039851032278463347,3.1755266105548685e-07,0.04343722427646771,10000.2,10000.20248411216,0.0003083099957660293,0.00015044004604125583,-0.11525681255971626,,10000.699778705317,-0.680442170058086,-0.7258827301019941,0.04544056004390806,,,,,10001.662139570555,,,,49.996666888874074,,,,,,,8.142857142857142,0.08142857142857142,0.0,0.024242233242643508,0.0,0.0,0.024390243902439046,0.00015002250337547984,0.1020408163265305,,,,0,,,0,,,,,0.1,0.0
-1,1600,RAINFOREST_RESIN,9995.0,29.0,,,,,10005.0,29.0,,,,,10000.0,12.0,0.0,0.0,0.0,9999.9,10000.07908170288,0.00039851032278463347,3.1755266105548685e-07,0.04343722427646771,9999.95,10000.16566881904,0.0002771841904172928,-0.00024961996296002376,0.03255872650068251,,10000.633133114334,-0.6532660497559846,-0.7113593940327922,0.05809334427680768,,,,,10001.596957626612,,,,49.996666888874074,,,,,,,8.142857142857142,0.08142857142857142,0.0,0.09090867768782869,0.0,0.0,0.6428571428571428,-0.00024993751562107924,0.12962962962962954,,,,0,,,0,,,,,0.1,0.0
-1,1700,RAINFOREST_RESIN,9996.0,2.0,9995.0,20.0,,,10002.0,1.0,10004.0,2.0,10005.0,20.0,9999.0,12.0,7974.0,-9.999999999998899e-05,-0.00010000500033334732,10000.4,9999.71938780192,0.0003571449825342549,0.00025031755266102795,-0.9231326627539509,9999.85,9999.95372903376,0.00026755025916240684,-9.96824473389335e-05,-0.5433531909584561,,10000.477596627254,-0.7043016700336011,-0.7099478492329541,0.005646179199352952,,,,,10001.49511615106,,,,47.724235730453515,,,,,,,8.0,0.08000800080008001,0.3333222225925802,0.12424089994708672,2657.9114029532348,0.000250087530635712,-0.1376811594202898,-9.999999999998899e-05,-0.17622950819672134,,,,0,,,0,,,,,0.16666444451851603,0.0
