day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,mid_price_change,bid_liquidity,ask_liquidity,total_liquidity,ob_skew,bid_price_spacing,ask_price_spacing,price_spacing_ratio,bid_top_concentration,ask_top_concentration,bid_decay,ask_decay,book_pressure,spread,spread_pct,bid_shape,ask_shape,liquidity_change_5,spread_vol_5,ob_skew_ma_5,liquidity_change_10,spread_vol_10,ob_skew_ma_10,liquidity_change_20,spread_vol_20,ob_skew_ma_20
-1,0,KELP,2028.0,1.0,2026.0,2.0,2025.0,29.0,2029.0,31.0,,,,,2028.5,0.0,-7974.5,64805.0,,,0.0,2.0,,,0.031249902344055173,,0.49997500124993743,,,1.0,0.04929751047572097,1.9998000199980002,,,,,,,,,,
-1,100,KELP,2025.0,24.0,,,,,2028.0,2.0,2029.0,22.0,,,2026.5,-13.42578125,-2.0,,,,0.0,,1.0,,,,,0.09090867768782869,,3.0,0.1480384900074019,,,,,,,,,,,
-1,200,KELP,2025.0,22.0,,,,,2028.0,20.0,,,,,2026.5,-30.28125,-7973.5,,,,0.0,,,,,,,,,3.0,0.1480384900074019,,,,,,,,,,,
-1,300,KELP,2025.0,31.0,,,,,2028.0,2.0,2029.0,29.0,,,2026.5,-50.578125,0.0,,,,0.0,,1.0,,,,,0.06896527943007093,,3.0,0.1480384900074019,,,,,,,,,,,
-1,400,KELP,2025.0,27.0,,,,,2028.0,27.0,,,,,2026.5,-62.7109375,-7973.5,,,,0.0,,,,,,,,,3.0,0.1480384900074019,,,,0.8944271909999159,0.0,,,,,,
-1,500,KELP,2025.0,30.0,,,,,2028.0,30.0,,,,,2026.5,-67.703125,0.0,,,,0.0,,,,,,,,,3.0,0.1480384900074019,,,,0.0,0.0,,,,,,
-1,600,KELP,2026.0,5.0,2025.0,31.0,,,2028.0,25.0,,,,,2027.0,-55.8828125,-7975.5,,,,0.0,1.0,,,,,0.16128980229096035,,,2.0,0.09866798223976321,,,,0.44721359549995787,0.0,,,,,,
-1,700,KELP,2025.0,2.0,2024.0,23.0,,,2028.0,23.0,,,,,2026.5,-37.953125,-0.5,,,,0.0,1.0,,,,,0.08695614366894057,,,3.0,0.1480384900074019,,,,0.44721359549995787,0.0,,,,,,
-1,800,KELP,2024.0,1.0,2023.0,29.0,,,2027.0,30.0,,,,,2025.5,-5.5078125,-7974.5,,,,0.0,1.0,,,,,0.034482639715035464,,,3.0,0.1481115773882992,,,,0.44721359549995787,0.0,,,,,,
-1,900,KELP,2024.0,23.0,,,,,2027.0,23.0,,,,,2025.5,-30.1875,0.0,,,,0.0,,,,,,,,,3.0,0.1481115773882992,,,,0.44721359549995787,0.0,,0.6749485577105531,0.0,,,
