day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,mid_price_change,effective_spread,mid_price_future,price_impact,realized_spread,mid_price_pct_change,trade_size_proxy,amihud,volume_imbalance,vpin_proxy,roll_cov,roll_spread,kyle_lambda_20,kyle_lambda_40,return_autocorr_1,return_autocorr_5,return_autocorr_10,volatility_10,range_volatility_10,volatility_20,range_volatility_20,volatility_50,range_volatility_50
-1,0,RAINFOREST_RESIN,10002.0,1.0,9996.0,2.0,9995.0,29.0,10004.0,2.0,10005.0,29.0,,,10003.0,0.0,,0.0,9998.5,-4.5,-4.5,,1.5,0.0,1.0,,,,,,,,,,,,,,
-1,100,RAINFOREST_RESIN,9996.0,2.0,9995.0,22.0,,,10004.0,2.0,10005.0,22.0,,,10000.0,3.0,-3.0,0.0,10002.5,2.5,-2.5,-0.029991002699192304,2.0,0.01499475161201555,0.0,,,,,,,,,,,,,,
-1,200,RAINFOREST_RESIN,9995.0,20.0,,,,,10005.0,20.0,,,,,10000.0,3.0,0.0,0.0,10000.0,0.0,0.0,0.0,20.0,0.0,0.0,,,,,,,,,,,,,,
-1,300,RAINFOREST_RESIN,9996.0,2.0,9995.0,29.0,,,10004.0,2.0,10005.0,29.0,,,10000.0,3.0,0.0,0.0,10000.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,
-1,400,RAINFOREST_RESIN,9996.0,2.0,9995.0,25.0,,,10004.0,2.0,10005.0,25.0,,,10000.0,3.0,0.0,0.0,10000.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,
-1,500,RAINFOREST_RESIN,9995.0,30.0,,,,,10002.0,4.0,10005.0,30.0,,,9998.5,3.0,-1.5,0.0,10000.0,1.5,-1.5,-0.014999999999998348,17.0,0.0008823477508954858,26.0,,,,,,,,,,,,,,
-1,600,RAINFOREST_RESIN,10000.0,5.0,9995.0,25.0,,,10005.0,25.0,,,,,10002.5,3.0,4.0,0.0,10000.0,-2.5,-2.5,0.04000600090012796,15.0,0.002667048946348888,20.0,,,,,,,,,,,,,,
-1,700,RAINFOREST_RESIN,9995.0,23.0,,,,,10005.0,23.0,,,,,10000.0,3.0,-2.5,0.0,9996.5,-3.5,-3.5,-0.024993751562107924,23.0,0.0010866801258302323,0.0,,,,,,,,,,,,,,
-1,800,RAINFOREST_RESIN,9996.0,1.0,9995.0,29.0,,,10004.0,1.0,10005.0,29.0,,,10000.0,3.0,0.0,0.0,10003.0,3.0,-3.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
-1,900,RAINFOREST_RESIN,9996.0,1.0,9995.0,22.0,,,10004.0,1.0,10005.0,22.0,,,10000.0,3.0,0.0,0.0,10000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5562123595120005,,,,,,,,,0.07399920064989154,,,,
-1,1000,RAINFOREST_RESIN,9995.0,26.0,,,,,10005.0,26.0,,,,,10000.0,3.0,0.0,0.0,10000.0,0.0,0.0,0.0,26.0,0.0,0.0,0.4220179614514115,,,,,,,,0.01903142256247497,0.08199980046994552,,,,
-1,1100,RAINFOREST_RESIN,9996.0,2.0,9995.0,24.0,,,10004.0,2.0,10005.0,24.0,,,10000.0,3.0,0.0,0.0,10000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4220179614514115,,,,,,,,0.01649972292752125,0.08199980046994552,,,,
-1,1200,RAINFOREST_RESIN,9995.0,21.0,,,,,9998.0,1.0,10005.0,21.0,,,9996.5,8.0,-3.5,0.0,9999.0,2.5,-2.5,-0.034999999999996145,11.0,0.0031817892564609544,20.0,0.65999934000066,,,,,,,,0.019868326148617783,0.0750008508375742,,,,
-1,1300,RAINFOREST_RESIN,10002.0,1.0,9996.0,1.0,9995.0,30.0,10004.0,1.0,10005.0,30.0,,,10003.0,10.0,6.5,0.0,10003.0,0.0,0.0,0.065022757965294,1.0,0.06501625633966003,0.0,0.6666659932666734,,,,,,,,0.029463568110486043,0.0690002510175202,,,,
-1,1400,RAINFOREST_RESIN,9996.0,1.0,9995.0,25.0,,,10004.0,1.0,10005.0,25.0,,,10000.0,12.0,-3.0,0.0,10000.0,0.0,0.0,-0.029991002699192304,1.0,0.029988003898802424,0.0,0.6734687005421423,,,,,,,,0.03127403400736559,0.0690002510175202,,,,
-1,1500,RAINFOREST_RESIN,9995.0,27.0,,,,,10005.0,27.0,,,,,10000.0,12.0,0.0,0.0,9997.0,-3.0,-3.0,0.0,27.0,0.0,0.0,0.3703700274351598,,,,,,,,0.03083099957660293,0.07199920085999657,,,,
-1,1600,RAINFOREST_RESIN,9995.0,29.0,,,,,10005.0,29.0,,,,,10000.0,12.0,0.0,0.0,9999.0,-1.0,-1.0,0.0,29.0,0.0,0.0,0.16393429185713781,,,,,,,,0.02771841904172928,0.07700045054757469,,,,
-1,1700,RAINFOREST_RESIN,9996.0,2.0,9995.0,20.0,,,10002.0,1.0,10004.0,2.0,10005.0,20.0,9999.0,12.0,-1.0,0.0,10001.0,2.0,-2.0,-0.009999999999998899,1.5,0.0066662222518491425,1.0,0.20895501596515823,,,,,,,,0.02675502591624068,0.07300105060758069,,,,
-1,1800,RAINFOREST_RESIN,10002.0,1.0,9996.0,1.0,9995.0,22.0,10004.0,1.0,10005.0,22.0,,,10003.0,12.0,4.0,0.0,10001.0,-2.0,-2.0,0.04000400040002905,1.0,0.04000000039998905,0.0,0.20895501596515823,,,,,,,,0.029744326597180803,0.0670004507875267,,,,
-1,1900,RAINFOREST_RESIN,9996.0,1.0,9995.0,28.0,,,10004.0,1.0,10005.0,28.0,,,10000.0,14.0,-3.0,0.0,10000.0,0.0,0.0,-0.029991002699192304,1.0,0.029988003898802424,0.0,0.20895501596515823,,,,,,,,0.03153868768308668,0.06700045078752671,,0.07049982571870912,,
-1,2000,RAINFOREST_RESIN,9996.0,2.0,9995.0,24.0,,,9998.0,1.0,10004.0,2.0,10005.0,24.0,9997.0,14.0,-3.0,0.0,10000.0,3.0,-3.0,-0.029999999999996696,1.5,0.01999866675554743,1.0,0.28947330332460086,3.651315789473684,3.821683288538538,-0.010105855629510985,,-0.5363663810306687,0.32414082026013646,0.028386711566459943,0.03293506727004757,0.059001050967580716,0.026179766529389727,0.07050042571876312,,
-1,2100,RAINFOREST_RESIN,9996.0,2.0,9995.0,25.0,,,10002.0,3.0,10004.0,2.0,10005.0,25.0,9999.0,16.0,2.0,0.0,10000.0,1.0,-1.0,0.02000600180054324,2.5,0.008002080636991815,1.0,0.30065320176052057,3.967105263157894,3.983518677329325,-0.02220069931799935,,-0.5725190598133377,0.48475020728317963,0.04989429197814261,0.0337351464387544,0.057001651027586725,0.02585146868073202,0.06950072574876613,,
-1,2200,RAINFOREST_RESIN,9998.0,8.0,9996.0,1.0,9995.0,24.0,10004.0,1.0,10005.0,24.0,,,10001.0,16.0,2.0,0.0,10001.5,0.5,-0.5,0.020002000200025627,4.5,0.004444790160224357,7.0,0.14285693877580175,3.7331871345029235,3.864291466493139,-0.01678499685967234,,-0.5211536553377453,0.4657044615804519,-0.05109464358552329,0.03201483099761617,0.060000000719952054,0.0262554477723999,0.06750042577876311,,
-1,2300,RAINFOREST_RESIN,9998.0,7.0,9996.0,2.0,9995.0,30.0,10004.0,2.0,10005.0,30.0,,,10001.0,16.0,0.0,0.0,10000.0,-1.0,-1.0,0.0,4.5,0.0,5.0,0.20408135499135374,3.7390350877192975,3.8673169447146676,-0.01718434821808105,,-0.5139439064058845,0.42729105800724776,-0.06144923399228204,0.023943638802365406,0.06400000060000004,0.0262554477723999,0.06650012580876012,,
-1,2400,RAINFOREST_RESIN,9995.0,29.0,,,,,10005.0,29.0,,,,,10000.0,16.0,-1.0,0.0,10000.0,0.0,0.0,-0.009999000099991662,29.0,0.0003447919179586161,0.0,0.14778310563240823,3.7404970760233924,3.8680729445155984,-0.013878095948093958,,-0.5167495261591565,0.4357822708249618,-0.024142730464820843,0.022111033860834718,0.06600000060000002,0.026360523932188885,0.06750012580876011,,
-1,2500,RAINFOREST_RESIN,9996.0,1.0,9995.0,22.0,,,10004.0,1.0,10005.0,22.0,,,10000.0,16.0,0.0,0.0,10001.5,1.5,-1.5,0.0,1.0,0.0,0.0,0.19867523354273703,3.391812865497076,3.6833750096872167,0.024629628940688954,,-0.5034709673536095,0.4236952373608876,-0.0244950345651874,0.022111033860834718,0.06400000060000005,0.026123510495238908,0.0679996007299983,,
-1,2600,RAINFOREST_RESIN,9995.0,23.0,,,,,10005.0,23.0,,,,,10000.0,16.0,0.0,0.0,10000.0,0.0,0.0,0.0,23.0,0.0,0.0,0.21582702758701067,2.847222222222222,3.3747427885527643,-0.1289831748213297,,-0.46411418672833504,0.4478704615298578,-0.027229696190201994,0.022111033860834718,0.06400000060000002,0.024436908189803725,0.07050022557378736,,
-1,2700,RAINFOREST_RESIN,9998.0,6.0,9995.0,26.0,,,10005.0,26.0,,,,,10001.5,16.0,1.5,0.0,10000.0,-1.5,-1.5,0.01500000000000945,16.0,0.0009374941406622116,20.0,0.40476142290306794,2.847222222222222,3.3747427885527643,-0.044264438026273153,,-0.4720744568211145,0.417450971663192,-0.09796019248846974,0.022267241428579908,0.06499835069747041,0.024024295743540258,0.06899970065252556,,
-1,2800,RAINFOREST_RESIN,9995.0,25.0,,,,,10005.0,25.0,,,,,10000.0,16.0,-1.5,0.0,10000.0,0.0,0.0,-0.014997750337453208,25.0,0.0005999076138676728,0.0,0.3148145233198858,2.972222222222222,3.4480268109295333,-0.03858067750149878,,-0.4827949500812767,0.5487308821098645,-0.2147728817626316,0.01843852950666812,0.07299895051752439,0.02428171509227776,0.06999970065252556,,
